msg_id,date_url,text
dvhab_novosti/89299,https://t.me/dvhab_novosti/89299,"Пироги с двумя видами рыб испекли корреспонденты DVHAB Мастер-класс по приготовлению рыбного пирога провели в хабаровском этноцентре. Участники испекли свои изделия, добавив в начинку соленую и свежую рыбу, рис и зелень. 👉 Прочитать статью полностью 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB"
dvhab_novosti/89308,https://t.me/dvhab_novosti/89308,Новому главе минпромторга поставили задачу возродить ХСЗ Министерство промышленности и торговли Хабаровского края возглавил Тимур Саматов. 👉 Прочитать статью полностью 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB
dvhab_novosti/89309,https://t.me/dvhab_novosti/89309,"Внимание на теплоотдачу: как выбрать покрытие для теплого пола Не все напольные покрытия одинаково хорошо «дружат» с подогревом. Неправильный выбор может привести к деформации, потере внешнего вида или даже к снижению эффективности самой системы. В этой статье мы подробно разберем, какие напольные покрытия идеально подходят для теплого пола, как сделать правильный выбор и какие риски существуют при использовании популярных материалов, таких как ламинат, паркет и керамогранит. 👉 Прочитать статью полностью 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB"
dvhab_novosti/89310,https://t.me/dvhab_novosti/89310,"Микрорайон на 15 тысяч человек с новым бульваром построят в Хабаровске Мэрия утвердила изменения в документацию по планировке территории микрорайонов №№ 6 и 7 в границах улиц Трёхгорной - Воронежской. Согласно проекту, здесь появится новый квартал на 15 тысяч человек, и уже точно известно о возведении школы и детсада. Кроме того, федеральный застройщик проложит здесь новый пешеходный бульвар, который перейдет в дальнейшем на баланс города. 👉 Прочитать статью полностью 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB"
dvhab_novosti/89311,https://t.me/dvhab_novosti/89311,"Чуть подороже - будущие рейсы в «альтернативу Таиланду» прокомментировала эксперт В Минтрансе РФ озвучили планы по запуску до конца этого года рейсов в Малайзию из Москвы, а в дальнейшем - и из аэропортов ДФО. Будет ли это направление востребовано у дальневосточников - оценила эксперт. 👉 Прочитать статью полностью 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB"
dvhab_novosti/89312,https://t.me/dvhab_novosti/89312,"Скандал разгорелся вокруг грязного больничного белья на аутсорсинге Жители Амурска беспокоятся по поводу состояния дел в городской центральной районной больнице. Два острых вопроса, вызывающих наибольшее недовольство, касаются ремонта компьютерного томографа и, что особенно болезненно, качества постельного белья. Люди отмечают, что после закрытия прачечной при ЦРБ белье доставляется из Комсомольска в ужасном состоянии: в пятнах и непригодное для использования. 👉 Прочитать статью полностью 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB"
dvhab_novosti/89313,https://t.me/dvhab_novosti/89313,"Вместо расширения: дорогу на Совхозной сузили до «бутылочного горлышка» В этом году начались работы на улице Совхозной: ее соединяют с переулком Брянским. Кроме того, сообщалось, что дорогу будут расширять. Однако получилось все наоборот - ее на одном из участков сузили, и теперь люди не понимают, как разъезжаться там в случае ДТП или других происшествий. В мэрии же уверяют, что с шириной магистрали все в порядке, причин для жалоб нет. 👉 Прочитать статью полностью 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB"
dvhab_novosti/89320,https://t.me/dvhab_novosti/89320,"Доброго утра, Хабаровск! Сегодня днем в Хабаровске температура воздуха составит 1..3°C. Ветер западный 6-11 м/с. Осадки преимущественно в виде мокрого снега 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB"
dvhab_novosti/89321,https://t.me/dvhab_novosti/89321,"Авторский прогноз от профессионального астролога на вторник, 28 октября Что предсказывают звезды хабаровчанам, расскажем в нашем традиционном гороскопе. 👉 Прочитать статью полностью 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB"
dvhab_novosti/89322,https://t.me/dvhab_novosti/89322,Первый нормальный снег привел к чудовищным пробкам Хабаровчане сегодня массово опаздывают на работу. 👉 Прочитать статью полностью 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB
dvhab_novosti/89324,https://t.me/dvhab_novosti/89324,"Благотворительный концерт в поддержку детей организуют хабаровские активисты Уникальность мероприятия подчеркивается не только его социальной миссией, но и уровнем технического оснащения. 👉 Прочитать статью полностью 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB"
dvhab_novosti/89325,https://t.me/dvhab_novosti/89325,Погубивший трех человек гонщик на Audi оказался военным Прокуратура выяснила новые подробности нашумевшего ДТП. 👉 Прочитать статью полностью 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB
dvhab_novosti/89276,https://t.me/dvhab_novosti/89276,Двух пешеходов сбил водитель на Toyota Crown ДТП произошло этим утром на улице Дикопольцева. Сбитая хабаровчанка 2006 года рождения находится в тяжелом состоянии. 👉 Прочитать статью полностью 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB
dvhab_novosti/89280,https://t.me/dvhab_novosti/89280,"Опасная забава: семейная пара на машине устроила погоню за тигром Хищник, замеченный на днях с добычей вблизи сел в районе имени Лазо, привлек к себе ненужное внимание. Некоторые жители устроили «охоту» за тигром на своем авто, сняв это на видео. Люди, смеясь, гоняли тигра по полю и восхищались своими действиями. 👉 Прочитать статью полностью 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB"
dvhab_novosti/89281,https://t.me/dvhab_novosti/89281,"Автобусный маршрут отменяет мэрия после ухода перевозчика Недавно от маршрута № 61К-1 отказался перевозчик - по закону ему нужно отработать 90 дней, а потом мэрия должна найти другого предпринимателя, который будет обслуживать направление. Но в администрации вовсе решили этот маршрут отменить. 👉 Прочитать статью полностью 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB"
dvhab_novosti/89282,https://t.me/dvhab_novosti/89282,"Полный проКач: как избежать «откатов» в тренировках и вернуться к ним DVHAB запустил новую рубрику о спорте и фитнесе в Хабаровске. В рамках проекта мы будем рассказывать об увлекательных тренировках, заниматься вместе с инструкторами, разбираться в тонкостях правильного питания и, конечно же, тестировать актуальные, а порой весьма необычные фитнес-тренды. Сегодня мы расскажем, почему так важно не делать длительных перерывов в тренировках и как вернуться к занятиям без вреда для себя. Проект ведет Рина Курдюмова. 👉 Прочитать статью полностью 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB"
dvhab_novosti/89283,https://t.me/dvhab_novosti/89283,"Анализируем это: как спасти отношения и не довести их до развода Психолог Алёна Наумова на сайте DVHAB.ru разбирает вопросы, которыми временами задаются почти все, а также приводит примеры из практики. 👉 Прочитать статью полностью Если у вас есть вопросы к нашему психологу, то задавайте их в комментариях. Самые интересные из них обязательно разберем. 🙂 Подписаться на DVHAB ✍️ Написать в DVHAB"
